"";"x";"KvK..uit.bestand.2015.";"AGBCODE_INDIENER";"NAAM";"STRAAT";"POSTCODE";"PLAATS";"Hoort.bij";"Naam.zorgaanbieder";"Plaats.zorgaanbieder";"URL.naar.wachttijden";"Vestigingslocatie";"Type.GGZ";"Circuit";"Nadere.typering";"Typering";"Aanmeldtijd";"Behandeltijd";"Datum.actualisatie";"Peildatum";"AFWIJKEND_ZV";"Opmerkingen.MQ";"SGGZ_MEASURE_TYPE";"BGGZ_MEASURE_TYPE";"AGB_SOORT";"MQ_LIJST";"INST";"Wachttijden.toelichting";"Website.vindbaar";"ROW_ID";"grote_instelling"
"23";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"http://www.sinaicentrum.nl/behandelaanbod/praktische-informatie/wachttijden/";"Sinai Centrum, loc. Amstelveen";"SGGZ";"Volwassenen";"Psychotrauma";"";"7";"7";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;23;1
"24";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"http://www.sinaicentrum.nl/behandelaanbod/praktische-informatie/wachttijden/";"Sinai Centrum, loc. Amersfoort";"SGGZ";"Volwassenen";"Psychotrauma";"";"10";"7";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;24;1
"25";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"https://www.arkinjeugdengezin.nl/praktische-informatie/wachttijden/";"Arkin Jeugd en Gezin";"SGGZ";"Adolescenten";"Angst; Trauma; Depressie; ADHD; Gedragsproblemen";"";"1";"2";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;25;1
"26";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"http://www.inforsa.nl/over-inforsa/wachttijden";"Inforsa";"SGGZ";"Volwassenen";"Forensische zorg; intensieve behandeling/zorg; verslavingsreclassering";"forensisch";"6";"6";"10-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;26;1
"27";2;"34310392";6290732;"STICHTING ARKIN                                             ";"Klaprozenweg            ";"1033NN";"AMSTERDAM               ";NA;"Stichting Arkin";"Amsterdam";"https://victas.nl/verslaving/site/behandeling/107/wachttijden";"Victas";"SGGZ";"Volwassenen";"Verslavingszorg";"verslaving";"3";"5";"1-5-2016";"23-9-2016";"";"";"FULL";"FULL";6;1;1;NA;NA;27;1
"28";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/wachttijden-gb-ggz";"Rivierduinen, loc. Alphen aan den Rijn";"BGGZ";"Volwassenen";"";"";"0";"0";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;28;1
"29";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/wachttijden-gb-ggz";"Rivierduinen, loc. Gouda";"BGGZ";"Volwassenen";"";"";"0";"0";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;29;1
"30";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/wachttijden-gb-ggz";"Rivierduinen, loc. Katwijk/Lisse/Voorhout";"BGGZ";"Volwassenen";"";"";"1,5";"0";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;30;1
"31";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/wachttijden-gb-ggz";"Rivierduinen, loc. Leiden";"BGGZ";"Volwassenen";"";"";"5";"0";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;31;1
"32";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/wachttijden-gb-ggz";"Rivierduinen, loc. Leidschendam";"BGGZ";"Volwassenen";"";"";"2";"0";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;32;1
"33";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/wachttijden-gb-ggz";"Rivierduinen, loc. Zoetermeer";"BGGZ";"Volwassenen";"";"";"2";"0";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;33;1
"34";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/alphen-aan-den-rijn-volwassenen";"Rivierduinen, loc. Alphen aan den Rijn";"SGGZ";"Volwassenen";"Angst- stemmings- en somatoforme klachten";"";"3";"7";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;34;1
"35";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/alphen-aan-den-rijn-volwassenen";"Rivierduinen, loc. Alphen aan den Rijn";"SGGZ";"Volwassenen";"Persoonlijkheidsproblemen";"";"3";"19";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;35;1
"36";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/alphen-aan-den-rijn-volwassenen";"Rivierduinen, loc. Alphen aan den Rijn";"SGGZ";"Volwassenen";"Overige klachten";"";"3";"7";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;36;1
"37";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/gouda-volwassenen";"Rivierduinen, loc. Gouda";"SGGZ";"Volwassenen";"Angst- stemmings- en somatoforme klachten";"";"3";"8";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;37;1
"38";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/gouda-volwassenen";"Rivierduinen, loc. Gouda";"SGGZ";"Volwassenen";"Persoonlijkheidsproblemen";"";"3";"11";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;38;1
"39";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/gouda-volwassenen";"Rivierduinen, loc. Gouda";"SGGZ";"Volwassenen";"Overige klachten";"";"3";"8";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;39;1
"40";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/katwijk-lisse-voorhout-volwassenen";"Rivierduinen, loc. Katwijk/Lisse/Voorhout";"SGGZ";"Volwassenen";"Angst- stemmings- en somatoforme klachten";"";"4";"3";"30-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;40;1
"41";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/katwijk-lisse-voorhout-volwassenen";"Rivierduinen, loc. Katwijk/Lisse/Voorhout";"SGGZ";"Volwassenen";"Persoonlijkheidsproblemen";"";"4";"3";"30-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;41;1
"42";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/katwijk-lisse-voorhout-volwassenen";"Rivierduinen, loc. Katwijk/Lisse/Voorhout";"SGGZ";"Volwassenen";"Overige klachten";"";"4";"3";"30-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;42;1
"43";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/leiden-volwassenen";"Rivierduinen, loc. Leiden";"SGGZ";"Volwassenen";"Angst- stemmings- en somatoforme klachten";"";"6";"3";"30-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;43;1
"44";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/leiden-volwassenen";"Rivierduinen, loc. Leiden";"SGGZ";"Volwassenen";"Persoonlijkheidsproblemen";"";"12";"6";"30-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;44;1
"45";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/leiden-volwassenen";"Rivierduinen, loc. Leiden";"SGGZ";"Volwassenen";"Overige klachten";"";"9";"3";"30-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;45;1
"46";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/leidschendam-volwassenen";"Rivierduinen, loc. Leidschendam";"SGGZ";"Volwassenen";"Angst- stemmings- en somatoforme klachten";"";"2";"4";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;46;1
"47";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/leidschendam-volwassenen";"Rivierduinen, loc. Leidschendam";"SGGZ";"Volwassenen";"Persoonlijkheidsproblemen";"";"2";"4";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;47;1
"48";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/leidschendam-volwassenen";"Rivierduinen, loc. Leidschendam";"SGGZ";"Volwassenen";"Overige klachten";"";"2";"4";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;48;1
"49";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/zoetermeer-volwassenen";"Rivierduinen, loc. Zoetermeer";"SGGZ";"Volwassenen";"Angst- stemmings- en somatoforme klachten";"";"2";"8";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;49;1
"50";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/zoetermeer-volwassenen";"Rivierduinen, loc. Zoetermeer";"SGGZ";"Volwassenen";"Persoonlijkheidsproblemen";"";"2";"9";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;50;1
"51";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/clienten/sggz/wachttijden/zoetermeer-volwassenen";"Rivierduinen, loc. Zoetermeer";"SGGZ";"Volwassenen";"Overige klachten";"";"2";"8";"6-9-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;51;1
"52";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/autisme/clienten/wachttijden/18-jaar-en-ouder";"GGZ Rivierduinen Autisme, loc. Leiden";"SGGZ";"Volwassenen";"Autisme";"";"4";"25";"15-6-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;52;1
"53";3;"28103824";6290833;"RIVIERDUINEN                                                ";"Sandifortdreef          ";"2333ZZ";"LEIDEN                  ";NA;"Stichting Rivierduinen";"Leiden";"http://www.rivierduinen.nl/eetstoornissen/clienten/wachttijden";"GGZ Rivierduinen Eetstoornissen Ursula";"SGGZ";"Volwassenen";"Eetstoornissen";"";"4";"3";"26-8-2016";"23-9-2016";"De wachttijd is niet afhankelijk van waar de cliënt is verzekerd";"";"FULL";"FULL";6;1;1;NA;NA;53;1
